,事件 incident,日期Date,搜索关键词,标题,来源,用户属性,Tag ,URL,转赞评 ,微博内容摘要,评论区发言（related to research question),,
,,,,#K435列车命案嫌犯被鉴定为精神病人#，法院决定强制医疗,环球时报,新闻媒体 ,#K435列车命案嫌犯被鉴定为精神病人#,https://weibo.com/1974576991/NmVWTg1Xf?refer_flag=1001030103_,14转 41评 166赞 ,衡阳铁路运输法院审理查明，贺振华实施了杀害他人的行为，严重危害公民人身安全，经法定程序鉴定为依法不负刑事责任的精神病人，有继续危害社会的可能，故决定对其强制医疗。被害人谷巩的表姐李女士告诉澎湃新闻，家属尚未决定是否申请复议。 ,"“是不是应该终生强制医疗？？否则别过两年说好了就给放出来了” （44）

“安检难辞其咎” （12）

精神病怎么了？杀人就偿命，行刑的时候找另一个精神病来执行 （24）
",,
,,,,#火车案凶手母亲称愿替儿子道歉#：儿子有伤人前科，自己也被打过,新浪新闻,新闻媒体 ,"#火车案凶手母亲称愿替儿子道歉#
#火车案凶手母亲证实其患精神病#",https://weibo.com/2028810631/MFVrt1gR5?refer_flag=1001030103_,8转 31评 342赞 ,"犯罪嫌疑人贺某某母亲告诉新黄河记者，贺某某有吸毒史、精神病史和伤人前科，她愿替儿子向被害人及其家属道歉。

“他有精神方面疾病，一共在医院住了两年8个月。”此前，有媒体报道称K435次列车持刀行凶的嫌疑人贺某某有精神病史。关于这一细节，嫌疑人贺某某的母亲卓女士回应称“属实”。","这次被法律制裁了，这个妈也可以解脱了。不过，一直好奇对于这种有潜在社会危害、家人又制不住的，有什么资源可以求助呢 （2）

不想听到其他…… 只想它必须死刑偿命[怒骂][怒骂] （21）

不关心他有什么故事，只关心他什么时候吃枪子 （93）

",,
,2021中南财经政法大学副教授被精神病人杀害案,2021-11-30,,妻子谈丈夫被精神病人杀害细节,第一现场,新闻媒体 ,"#妻子谈丈夫被精神病人杀害细节#
#妻子诉工亡为告慰丈夫23年读书路#
#副教授被精神病人杀害家属最新发声# ",https://weibo.com/1789681642/QgJybtuT5,,中南财经政法大学副教授王某平在自家小区内，遭患有偏执型分裂症的男子王某刚持棍袭击后不治身亡。12月3日，妻子敖女士接受@第一现场 专访时表示，丈夫求学几十年正是年富力强的时候，命却被一个精神病人残忍剥夺，真的是天降横祸，而自己也一夜白头。“刚开始出事连哭都不知道哭。现在我相信，人是会一夜白头的。” ,"
deereedLH:能杀人的精神病人，还留着干什么呢？等他再杀人吗？（9）

绵绵_angela:回复@deereedLH:还是要送医，既能得到治疗，还能防止伤人

盧爺爺爺爺:回复@绵绵_angela:谁能保证他一辈子不复发？或者更严重点，谁来给他就医这个钱？

deereedLH:回复@绵绵_angela:既然都说是精神病人了，那肯定不是才查出来精神病人，都会杀人的程度的精神病人，那监护人之前为什么没有预防他出去伤害无辜的人，谁能保证他今后一辈子都病情稳定呢？如果他又不稳定又杀人了怎么办呢？为什么要让无辜的人承担风险呢？ 精神病人不该成为免死金牌，那是对遵纪守法公民的不公平。

绵绵_angela:可以送去医院接受治疗呀，病情会有稳定的时候，稳定的时候跟正常人一样，这样也要杀吗？[允悲]",,
,,,,#被精神病人杀害的副教授亲属发声#：凶手还晓得毁灭证据,海报新闻,新闻媒体 ,"#被精神病人杀害的副教授亲属发声#

#副教授在小区内被精神病人一招致命# ",https://weibo.com/2620088113/Qhhgkq97Y?refer_flag=1001030103_,80转 58评 1197赞,副教授王某平在自家小区内被精神病人杀害，妻子敖女士悲痛质问：打人的时候，凶手选择从背后袭击，打击部位一招致命。而且凶手懂得把凶器藏起来保护自己，毁灭证据，这是精神病人做的事吗？,小猪-_猪:让凶手接受应有的法律制裁，彰显人性的良知和社会的公正。（5）,,
,2010年4月福建南平校园惨案,2010-03-23,,/ ,万路书杰 ,个人博主,#校园惨案# ,https://m.weibo.cn/detail/3523816775258661 ,0 转 0评论 0赞 ,“中美两地校园惨案，让我不约而同想起前两年福建南平同样校园惨案。两个疑问:对于这些被外界打上“人格障碍”、“精神病”案犯是什么原因让他们选择这样方式为自己人生画上一个问好？又为什么，每当类似这样事件发生总有笔者打出“人格障碍”、“精神病”、“悲观厌世”马赛克遮掩事件本身” ,/,,
,,,,/ ,灯蛾烈火 ,个人博主,#校园惨案# ,https://m.weibo.cn/detail/3523888576752065 ,0 转 0评论 0赞 ,“继2010年发生在福建南平、广西合浦、江苏泰兴等地的一系列校园血案后，12月14日，河南光山县文殊乡陈棚村完全小学发生惨案：36岁的村民闵应军冲入这所小学，砍伤学生22名，群众1名，警方初步认定闵应军患有精神病。此人冲进校园后，拿着刀逐个教室，从一楼砍到三楼，期间丝毫不见老师和保安的影子。” ,/,,
,,,,/ ,清华史安斌 ,个人博主,/,https://m.weibo.cn/detail/3587030442843954 ,124 转 32评论 5赞 ,“厦门BRT纵火案定性为“社会报复”，接下来需要防止的是“媒体教唆”效应，把这样的个案“泛社会化”，密集的报道指向社会问题，而非案情本身，会加大类似案件短时间内在其他地区上演的可能性。教训是2010年4月福建南平校园惨案，由于媒体过度渲染嫌犯反社会的动机，导致全国在一个月内上演4起类似惨剧” ,/,,
,,,,/ ,正义网 ,新闻媒体 ,/,https://m.weibo.cn/detail/4119233002392702 ,38 转 63评论 21赞（上过头条） ,“【得是什么样的人 才会对儿童下杀手！[怒]】江苏丰县爆炸案已致8死65伤，警方将该事件定为刑事案件，并初步锁定嫌疑人。2010年3月，一歹徒在福建南平实验小学门口挥刀砍死8名儿童、砍伤5名儿童。此后，在短时间内，全国发生了多起校园惨案。得是什么样的人，才会对儿童下杀手↓↓生命不保，何谈教育！” ,博主开启防火墙，评论区内容无法显示 ,,
,,,,,,,,,,,,,
,2014年8月广州公交纵火案,2014-07-05,,#广州公交纵火案#凶手一审被判死刑 ,央视新闻,新闻媒体 ,#广州公交纵火案# ,https://m.weibo.cn/detail/4119233002392702 ,191 转 232评论 679赞 ,“广州中院审理查明，被告人欧长生因久病不愈产生报复社会想法，于2014年7月15日，在广州301路公交车点燃爆炸装置，致2人死亡16人重伤；欧还在外地实施两起严重破坏交通设施的犯罪行为。今天，欧长生因犯爆炸罪和破坏交通设施罪，一审被判处死刑。(央视记者吴思雅)！” ,"宁波袁先生：报复社会？这人肯定无罪释放，因为是精神病患者！（0转0评0赞） 

yaya桑榆非晚：报复社会最可怕了。（0转0评0赞） 

呆童酱-0-：下面说让社会反思一下如何帮助久病不愈的人，反思你mb（0转0评20赞） 

南明月北清风：他得不到关怀，得不到政府的补贴，所以心理扭曲，大家想想，国家政策都是好的，到老百性手里有什么，屁都沒有，所以，看不到希望心理变态，怨准呢，只能怨贪官层层扒皮，什么利意都是自己的，什么廉租房什么商品房，还有部长它爹吃劳保，自己占完亲戚占，到老百姓手里的是施舍给你的，这样的国（0转0评4赞） 

没工作的悲哀：因为我参加乡镇事业单位的招聘考试取得了某岗位的第二名，但是没被通知面试也没被录取，这是什么社会？我都想报复社会，但是没胆量，只好窝窝囊囊地活着（0转0评4赞） ",, 
,,,,【广州公交纵火案嫌犯因赌博输钱而纵火】,人民日报,新闻媒体 ,,https://m.weibo.cn/detail/3733027110524745,963 转 1101评论 231赞 ,"
“据广州警方通报：7月15日发生在海珠区广州大道南敦和路口的301路公交车纵火案件已告破，警方于16日11时47分在白云区抓获犯罪嫌疑人欧某(男，25岁，湖南人)。据欧某交待，其因个人赌博输钱、心生不忿，继而在301路公交车上实施人为纵火。目前嫌犯已被刑拘” ",,,
,,,,【广州警方16小时侦破海珠区“7.15”公交车纵火案件】 ,人民日报,新闻媒体 ,#警方通报#,https://m.weibo.cn/detail/3733027110524745 ,963 转 1101评论 231赞,"赌博输钱、心生不忿，所以人为纵火（偏向报复社会而非精神病，犯人有正常运作的思考和决策能力） 

“7月15日发生在海珠区广州大道南敦和路口的301路公交车纵火案件已告破，广州警方连续奋战，于16日11时47分在白云区抓获犯罪嫌疑人欧某（男，25岁，湖南人）。据欧某交待，其因个人赌博输钱、心生不忿，继而在301路公交车上实施人为纵火” ",,,
,,,,,_beta同学,个人博主,#广州公交爆炸#,https://m.weibo.cn/detail/3732798454293772 ,155 转 152评论 514赞,"
“从厦门BRT纵火案开始，公交纵火犯罪频率越来越高。模仿犯罪产生了更广泛社会危害性。媒体细化报道脱不了责任，罪犯容易认为公交纵火是‘低投入犯罪思路高回报社会报复感’。网民祷告熄不住罪犯报复社会的熊熊烈火，反倒助长了他们的嗜血人性” ","褐瞳_BLUE：也因为媒体没有详细报道纵火犯的下场，也没有给纵火犯死刑（0转0评12赞） 

80_hiIwantobeslim：不是不报 是换种方式报道 比如多报犯罪成本 犯罪后果 起到警示的作用（0转0评10赞） 

周歪歪1003：我也觉得媒体太搞人。不应该那样报道过头了。让心理扭曲的人更想模仿犯罪（0转0评7赞） 

有馅的白馒头-8小魔8-：因为一个恶性案件出来之后常常会有一系列模仿犯，加上中国媒体大部分都没意识到╮(￣▽￣"")╭ 细节图片，伤者的痛苦，对犯罪者的同情都会刺激潜在罪犯，这种视频图片什么的看到也别转了，没好处（0转0评6赞） 

叫我铲屎大将军：回复@ly小y小y:媒体追求眼球效应，血腥暴力场面带来更多的关注，从而忽视了作为媒体应该承担的引导安抚的责任，感觉现在的媒体和犯罪分子一样的疯狂，看他们报道的内容完全不觉得沉痛反而很兴奋的样子，媒体如果不改变报道方式此类事件还会持续发生，唉，看着只能干生气，摸摸头（0转0评6赞） 

忄肖忄肖晚安_oO：这类型的罪犯无非就是想报复社会，惨不忍睹的视频和图片，群众的恐惧和不安，全国的关注，都会让他们变态的犯罪心理得到满足，媒体再不注意一下报道的方式只怕模仿的罪犯会变多（0转0评5赞） ",,
,2013年北京首都机场爆炸案,2013-07-20,,【东莞通报冀中星案详细情况】 ,央视新闻 ,新闻媒体 ,,https://m.weibo.cn/detail/3732798454293772 ,571 转 804评论 72赞,"“昨晚北京首都机场发生爆炸，网传当事人冀中星曾""被东莞治安队员殴打致残，投诉无门""。东莞通报：①至今仍没有证据证明治安队员殴打冀中星 ②冀中星上访后，出于人道主义给予冀中星救助金10万元 ③冀中星收取救助金后，对东莞市表示感谢。(央视记者公海全)” 

东莞方报道：“经东莞人民法院审理，认为冀中星的举证不足，判决驳回金中兴的诉讼请求（赔偿334782.99元）。” ","该评论区据我观察没有被点赞过的评论，因此截取一些有代表性的不同立场的言论。须知，该评论区底下很大一部分用户在表达对政府处理的不满以及普通人采用极端手段诉苦的无奈 

小花不是一只狗：就这样说吧，反正我不信，人家拿命拼了，没冤屈不可能 

@肚子好大好烦恼：上访的不一定就是真有冤屈的。穷山恶水出刁民，菏泽是什么地方，呵呵。评论里有些人真是太不了解农民的基本属性都有什么了。 

@泉涌溪河：这样的敲炸老江湖手法挺老练的，政府现在不能再多给他一分钱了，宠不得，你越宠，他会越闹，就象现在网上的那些“公知”们一样。他现在也在玩双方收费都说不定，这个也要调查下。是不是有这个事。 ",,
,南昌商场故意伤人事件,2019-05-24,商场 故意伤人,南昌一商场发生伤害案件嫌犯已被抓（这个案件有不少当地新闻报道，但都是bot，一样的文案，无人评论）,新京报,新闻媒体 ,,,,#南昌一商场内男子用刀划伤一女子#1月10日晚，江西南昌红谷滩一商场内发生一起伤害案件。当晚红谷滩警方通报，警方接警后迅速出警，嫌疑人被当场控制，经查嫌疑人宋某雄使用陶瓷折叠水果刀将一名女子划伤，伤者经送医诊治确认为表皮划伤，目前案件正在进一步侦办中。,南昌啊，这是现在网络发达了[doge]以前不知道多少起这种事 （11）,,
,景德镇一家三口被撞,2024-10-02,公共安全,景德镇一家三口被撞案一审宣判 肇事司机廖某宇被判处死缓,新浪热点,新闻媒体 ,#一家三口被撞亡案被告一审被判死缓#,https://weibo.com/2318910945/QmhxmvYgk,,"1月9日，江西省景德镇市中级人民法院对被告人廖某宇以危险方法危害公共安全案一审公开宣判，对被告人廖某宇以以危险方法危害公共安全罪判处死刑，缓期二年执行，剥夺政治权利终身。

法院经审理查明，2024年10月2日18时30分许，被告人廖某宇驾驶电动汽车，载孙某某从景德镇市珠山区某小区出发，沿昌江大道由东向西行驶至一红绿灯路口等待通过时，与孙某某因琐事发生争执致心情烦躁。在等待多轮红绿灯后，廖某宇驾驶车辆加速通过，并不顾孙某某劝阻持续加速行驶一段距离后，看见由北向南横过马路的被害人胡某(男，殁年31岁)、王某某(女，殁年30岁)、胡某某(男，殁年不满1岁，由胡某抱在怀中)一家三口，廖某宇随即踩刹车和打方向盘意图避让，但因车辆速度极快而撞击到被害人，致胡某某当场死亡，王某某经现场抢救无效死亡，胡某经送医抢救无效死亡。案发后，廖某宇先后拨打了急救和报警电话，并在现场等候处理。

法院审理认为，被告人廖某宇无视交通安全管理法规，明知节假日晚高峰期间城市主干道人流车流密集，高速驾驶车辆极易发生危害公共安全的后果，仍然超速行驶，造成三人死亡，严重危害公共安全，其行为已构成以危险方法危害公共安全罪。廖某宇犯罪情节恶劣，后果特别严重，应依法惩处。鉴于廖某宇在看见被害人后采取了紧急制动和打方向盘的避让措施，犯罪心态系间接故意，主观恶性和人身危险性有别于蓄意危害公共安全的直接故意犯罪，且具有自首情节，根据廖某宇犯罪的事实、犯罪的性质、情节和对于社会的危害程度，依法作出以上判决。

被害人和被告人双方亲属，部分人大代表、政协委员、新闻媒体记者及群众旁听了宣判。（央视）","救护车都是别人打的，他有自首情节？(3487)
为啥不是死刑呢？不是杀人偿命吗 (2037)
不是死刑立即执行不足以平民愤呀，这种故意加速到120多就是故意杀人，而且事故后还调侃。(1129)",,
,,,,【景德镇#一家三口被撞亡前正筹备孩子周岁宴#，家属悔恨当天喊他们来吃饭】,极目新闻,新闻媒体 ,#一家三口被撞亡前正筹备孩子周岁宴#,https://weibo.com/1720962692/Qm9gmvxu6,,"据景德镇警方通报，2024年10月2日18时42分许，廖某某（男，20岁）驾驶一辆小型汽车行驶至昌江大道莱顿风情小区门口路段时，撞倒正在过马路的三名行人，造成胡某某当场死亡、王某某经现场抢救无效死亡、胡某受伤经送医抢救无效后死亡。经勘察、检验鉴定，廖某某排除酒驾毒驾嫌疑，负事故全部责任。10月3日，廖某某因涉嫌交通肇事罪被依法刑事拘留。

极目新闻记者了解到，此起事故中不幸身亡的三人为一家三口，丈夫胡某31岁，妻子王某某30岁，儿子胡某某不满1岁。警方给出的肇事原因是，司机廖某某因与女友吵架，开快车泄愤。","“当被问及是否曾后悔喊儿子一家回家吃饭时”这是人问得出来的问题吗？”（494）
”自己开快车又赖到女朋友身上“ （36）
天呐，这个结果[裂开][裂开][裂开]廖某宇只是暂时失去自由，而三个无辜的人却永远失去生命，剩下这对可怜的父母，维权太难了，紫雅案也一样，唉。（6）
必须QB，以儆效尤，不然有人模仿（60）",,
,,,,廖某宇以危险方法危害公共安全案一审宣判,新华社,新闻媒体 ,#景德镇一家3口被撞案一审宣判#,https://weibo.com/1699432410/Qmhvklxuo,,,"“区别是一个积极追求，一个放任发生。本案认定间接故意法院裁判是以事实为依据，以法律为准绳。 间接故意是指明知自己的行为可能发生危害社会的结果，并且放任这种结果发生的心理态度‌。直接故意指行为人明知自己的行为必然或可能引发危害社会的结果，并积极追求该结果发生的心理态度。” （3927）
“一言难尽，很不舒畅。” （1.2万）
这个案子性质确实恶劣，死缓判决要兼顾事实与法律，既考量间接故意的主观属性与自首情节，也彰显对生命的敬畏与对公共安全的守护，更警示驾车者莫让情绪凌驾于规则之上。 ​（1488）",,
,,,,,啾咪一栀穗,个人博主,#景德镇一家3口被撞案一审宣判##景德镇车祸肇事司机一审死缓#,https://weibo.com/3936528530/QmhWxkv3R,,"是要死刑，才让受害者家属撑到现在的，一家三口死亡，独子独孙没了，等于就是绝代了，相信会死刑，以为也会死刑，结果还是死缓。

撞了人之后，他的家人至今没有道歉，和女友吵架泄愤飙车，结果一家三口被撞死亡，廖某父亲还说受害人家属买媒体…… 

不死刑不平民愤！","“必须上诉！不死不足以平民愤” （37）
“是我多了一段记忆吗，之前报道说是没有女朋友的，是他咨询了律师，律师建议说跟女朋友吵架，这样能降低惩罚” （23）
“这个判的算是合理吧”",,
,,,,景德镇一家3口被撞案一审宣判,星烨易理,个人博主,#景德镇一家3口被撞案一审宣判#,https://weibo.com/2104482423/QmiwcbLu2,,"国内到底谁在支持废S？

判个死刑必须最高院批准，扭扭捏捏的

恶意飙车，态度恶劣，威胁恐吓，挑战国法。。

这种还不够死刑？？

估计过几年老人走了，肇事司机十年左右说不定就自由了。

80年代yanda，小偷小摸都S形，治安好转

本博觉得法官也是尽力了，毕竟权l有限

希望果家考虑，类似成都女邻居上门S人，景德镇飙车撞死一家三口的，特批让他们去。。","“法官判的真公平，建议当地热心市民赶紧送礼表示谢意，毕竟当地出了这么个法官不容易，烂菜叶子臭鸡蛋走起。”（5）
“法律专业人士是支持的，普通人反而相反”
“死刑不会被废除，但是总的原则是 慎用少用 而且经过最高法审核批准，这是绝对不可少的程序，一旦杀错，那就无可挽回了 以前就有过这种事情，所以必须吸取教训”",,
