,incident,text,likes,topic_id,bert_label,theme,comment_id,manual_theme,mental_illness_mentioned,sentiment_toward_mi_defense,bert_correct,notes
42,2023年5月4日列车持刀杀人案,请大家关注，2018年10月11日，上海仁济东院急诊副主任医师陈杰和主治医师陈琦，故意对家属隐瞒输洗涤红细胞的治疗措施，不按诊疗规范治疗，没有申请洗涤红输血治疗，造成我母亲入院3天后不治。上海卫健委充当保护伞，包庇医学会事故鉴定造假，护短无良医生，至今未对违法违规医生立案调查及行政处罚,54,15,Hospital security (瑞金医院),Incident-Specific,4955909342625947,Incident-Specific,no,n/a,no,Off-topic/spam: unrelated personal grievance about a different hospital's alleged malpractice
43,上海瑞金医院持刀砍人案,安装安检，到时候又说，延误治疗时间,24,15,Hospital security (瑞金医院),Incident-Specific,4789333204143686,Incident-Specific,no,n/a,yes,
44,上海瑞金医院持刀砍人案,论医院安检重要性这是血的教训,20,15,Hospital security (瑞金医院),Incident-Specific,4961483630314957,Incident-Specific,no,n/a,yes,
45,泰安一中学附近校车冲撞学生事件,这司机是什么情况？听到视频里面的哭声，心脏都疼！何况他们的家人！,538,16,Grief for victims,Incident-Specific,5074495302537446,Child Victims,no,n/a,no,Grief centers on child victims/families; fits Child Victims better than the generic 'Incident-Specific' bucket
46,泰安一中学附近校车冲撞学生事件,这场面，看着都忍不住想哭,71,16,Grief for victims,Incident-Specific,5074488855891218,Incident-Specific,no,n/a,yes,"General grief reaction, doesn't specify children"
47,无锡职业技术学院持刀伤人,原本以为只是去锻炼一下就回家的夜晚，却因个人的主观恶意而变成许多家庭破碎的噩梦,25,16,Grief for victims,Incident-Specific,5124921441389851,Incident-Specific,no,n/a,yes,"Victims were college-age, not children, so 'shattered families' framing is incident-specific rather than Child Victims"
48,深圳日本人学校学生被刺,日本人好好反思下,90,22,Nationalist framing (Shenzhen),Incident-Specific,5080662761800145,Incident-Specific,no,n/a,yes,
49,上海松江男子超市持刀伤人,丧心病狂的凶手，被抓的视频还在笑…,1384,24,Perpetrator-specific outrage,Incident-Specific,5084496143582304,Incident-Specific,no,n/a,yes,
50,2023年5月4日列车持刀杀人案,凭什么放出来杀人,22,24,Perpetrator-specific outrage,Incident-Specific,4955940744333267,Incident-Specific,no,n/a,yes,
51,上海松江男子超市持刀伤人,刚才看到别的媒体报道，后来就没了，只剩凤凰了,166,7,Suppressed news / opaque reporting,Media & Info Control,5084490219651921,Media & Info Control,no,n/a,yes,
52,上海松江沃尔玛持刀伤人,压得真好。这都不上热搜,72,7,Suppressed news / opaque reporting,Media & Info Control,5084663570239363,Media & Info Control,no,n/a,yes,
53,湖北恩施涉校刑事案件,看不了这样的新闻,40,7,Suppressed news / opaque reporting,Media & Info Control,4412258958291951,Media & Info Control,no,n/a,yes,
54,广州宝马撞人案,这个热搜怎么不热呢,25,7,Suppressed news / opaque reporting,Media & Info Control,5024821291259490,Media & Info Control,no,n/a,yes,
55,沈阳六旬超市员工持刀行凶,这也能跑就很无语,17,7,Suppressed news / opaque reporting,Media & Info Control,4659006427104950,Incident-Specific,no,n/a,no,"About the perpetrator escaping/police competence, not media suppression"
56,,为什么不敢说是哪里人？,14,7,Suppressed news / opaque reporting,Media & Info Control,5084685238274821,Media & Info Control,no,n/a,yes,Incident field blank in source data
57,上海松江沃尔玛持刀伤人,为什么不敢说是哪里人？,14,7,Suppressed news / opaque reporting,Media & Info Control,5084685238274821,Media & Info Control,no,n/a,yes,
58,德州男子故意冲撞,说句实话，这个事情我之前都不知道呢，可能是我错过了热搜吧，感觉真的非常严重呀，很可能就是故意的,13,7,Suppressed news / opaque reporting,Media & Info Control,5007215618689934,Media & Info Control,no,n/a,yes,
59,江西一男子幼儿园行凶,关键还不上热搜，人民日报都没用报,7,7,Suppressed news / opaque reporting,Media & Info Control,4798436183119954,Media & Info Control,no,n/a,yes,
60,广西梧州旺甫小学保安持刀伤人,回复@脑袋被猪啃了的猫:“你让我家破人亡我就让你女儿死”和之后有可能的“你不是在乎你的学校么？你不是在乎这群小孩么？你让我不好过，我就伤害你在乎的学校、小孩，让你也不好过”    本质上有什么区别呢,0,7,Suppressed news / opaque reporting,Media & Info Control,4512895074846006,Child Victims,no,n/a,no,Discusses the disturbing logic of threatening a perpetrator's own children/loved ones in retaliation; not about media suppression
61,湖北恩施涉校刑事案件,回复@章开腿我金莱啦:别自己加戏 上来就我不懂然后就凭啥  你说凭啥 凭的就是你不懂的法,0,7,Suppressed news / opaque reporting,Media & Info Control,4413891192473379,Incident-Specific,no,n/a,no,"Off-topic reply in a bickering exchange between commenters about legal knowledge, unrelated to media suppression"
62,泰安一中学附近校车冲撞学生事件,回复@祢也要来壹颗吗:那你一个被男人上女人才诞生的一个东西，这么恨男怎么不把自己销毁啊。 你不够纯，也不够忠诚啊。 你不会还心存幻想吧。噫，好恶心,0,7,Suppressed news / opaque reporting,Media & Info Control,5082574239829473,Incident-Specific,no,n/a,no,"Off-topic flame-war/insult exchange between commenters, unrelated to the incident or media control"
63,湖北恩施涉校刑事案件,为什么微博热搜没有这个。又被河蟹了嘛。这种新闻为什么不敢放,0,7,Suppressed news / opaque reporting,Media & Info Control,4413537914547992,Media & Info Control,no,n/a,yes,
64,上海松江沃尔玛持刀伤人,马利弊新闻都看不到,0,7,Suppressed news / opaque reporting,Media & Info Control,5084681383187709,Media & Info Control,no,n/a,yes,"Text is partly garbled, but content matches a suppression complaint"
65,泰安一中学附近校车冲撞学生事件,回复@JL-春风客:真的是 我说的又不是你,0,7,Suppressed news / opaque reporting,Media & Info Control,5074838500674859,Incident-Specific,no,n/a,no,"Off-topic reply clarifying a prior remark in an argument, unrelated to media suppression"
66,上海松江男子超市持刀伤人,这种事发生太多了，每次就是个警情通报，从不分析这背后的真相和原因。,285,17,Media critique,Media & Info Control,5084573005777112,Media & Info Control,no,n/a,yes,
67,泰安一中学附近校车冲撞学生事件,？？？怎么这么写新闻？现在不该关注伤员情况，去跟踪调查报道吗，现在引导什么啊在,227,17,Media critique,Media & Info Control,5074501809214241,Media & Info Control,no,n/a,yes,
68,广西梧州旺甫小学保安持刀伤人,在拍手喝采之前 我們希望見到事件的完整報告 包括雙方的陳述辯解 而不只是簡單的通報 就評論是非,4,17,Media critique,Media & Info Control,4546937871670245,Media & Info Control,no,n/a,yes,
69,江西一男子幼儿园行凶,真的每次看见这种新闻真的只有无奈，真的无奈，面对这种该怎么办，能不能有什么有效措施,1,17,Media critique,Media & Info Control,4798408294668090,Public Safety & Fear,no,n/a,no,Expresses general helplessness about recurring violence rather than a specific media critique
70,2013年北京首都机场爆炸案,不详细报道怎能保障公众知情权。媒体报道的着眼点是有改进的地方。关键是人心，正常人会做出如此反社会的事情么。,1,17,Media critique,Media & Info Control,3732999088839495,Media & Info Control,no,n/a,yes,
71,上海地铁持刀伤人事件,媒体多报导一些正能量的事件,0,17,Media critique,Media & Info Control,5047366002937245,Media & Info Control,no,n/a,yes,
72,2013年北京首都机场爆炸案,关键是报道的方式,0,17,Media critique,Media & Info Control,3751766011542216,Media & Info Control,no,n/a,yes,
73,2010年4月福建南平校园惨案,那媒体是不是要隐藏性质的报道这事情。。不是那么所谓的社会化，而是社会化的本身主体是什么？？及政府部门 的对安全隐患的工作是否到位。。公民的归宿感，社会个人的责任感,0,17,Media critique,Media & Info Control,3587058595530351,Media & Info Control,no,n/a,yes,
74,2010年4月福建南平校园惨案,社交媒体年代如引导与控制？,0,17,Media critique,Media & Info Control,3587383200767373,Media & Info Control,no,n/a,yes,
75,2013年北京首都机场爆炸案,回复@涂鸦中国:不是不报 是换种方式报道 比如多报犯罪成本 犯罪后果 起到警示的作用,0,17,Media critique,Media & Info Control,3732983381399136,Media & Info Control,no,n/a,yes,
76,红谷滩杀人事件,希望精神病不是挡箭牌,66290,0,Mental illness as legal shield,Mental Illness & Law,4398598739064903,Mental Illness & Law,yes,skeptical,yes,
77,红谷滩杀人事件,无辜的人惨死，精神病人逍遥。这事现在太频繁了吧，还有未成年人犯案。要死多少人政府才能下重手整治,13257,0,Mental illness as legal shield,Mental Illness & Law,4398598937079460,Mental Illness & Law,yes,skeptical,yes,
78,红谷滩杀人事件,严惩凶手，哪怕有精神病，其监护人也必须负责！,7661,0,Mental illness as legal shield,Mental Illness & Law,4398598949336434,Mental Illness & Law,yes,skeptical,yes,
79,2024年6月9日成都女子遇害案,精神病人杀人更应该死刑，这样可以减少潜在的杀人案。,2848,0,Mental illness as legal shield,Mental Illness & Law,5170683539363971,Mental Illness & Law,yes,skeptical,yes,
80,红谷滩杀人事件,真有精神疾病的，要有相应的管控和治疗！,2500,0,Mental illness as legal shield,Mental Illness & Law,4398598659515804,Mental Illness & Law,yes,supportive,yes,Supports proper management/treatment for genuine cases rather than disputing MI's legitimacy as a factor
81,红谷滩杀人事件,神经病应该加重判刑！！！！！！持有精神证件对于社会危害较大的动物！！至少关50年以上！！！如有杀害致人死亡的精神病动物！直接枪毙！直系亲属也有连带责任！！！这样估计有些精神病就不会闹事了,1772,0,Mental illness as legal shield,Mental Illness & Law,4398601834393744,Mental Illness & Law,yes,skeptical,yes,"Extremely hostile, dehumanizing language"
82,红谷滩杀人事件,精神病真的不能是理由,1277,0,Mental illness as legal shield,Mental Illness & Law,4398601465375923,Mental Illness & Law,yes,skeptical,yes,
83,上海瑞金医院持刀砍人案,一开始还有人造谣他杀人是因为亲人被医院治死了吹嘘他情有可缘，骂医生活该。,1024,0,Mental illness as legal shield,Mental Illness & Law,4961476717842727,Incident-Specific,no,n/a,no,"About a circulating rumor concerning a revenge/malpractice motive, not mental illness"
84,2024年6月9日成都女子遇害案,精神病为什么不在精神院,731,0,Mental illness as legal shield,Mental Illness & Law,5170680745430497,Mental Illness & Law,yes,skeptical,yes,
85,红谷滩杀人事件,残疾证不等于杀人证！,544,0,Mental illness as legal shield,Mental Illness & Law,4398603193343584,Mental Illness & Law,yes,skeptical,yes,
86,2024年6月9日成都女子遇害案,精神疾病也分对社会有害和无害的，请不要一言以概之,408,0,Mental illness as legal shield,Mental Illness & Law,5170851941189229,Mental Illness & Law,yes,neutral,yes,Cautions against over-generalizing about mental illness
87,2024年6月9日成都女子遇害案,我觉得不是所有的精神病都没有负刑事责任的能力的。也不是所有的未成年都不具备负刑事责任的能力的。建议加强律法的完善和案例的弹性。,391,0,Mental illness as legal shield,Mental Illness & Law,5171002037504213,Mental Illness & Law,yes,neutral,yes,"Balanced legal argument, not clearly skeptical or supportive"
88,2024年6月9日成都女子遇害案,我觉得不是所有的精神病都没有负刑事责任的能力的。也不是所有的未成年都不具备负刑事责任的能力的。建议加强律法的完善和案例的弹性。,391,0,Mental illness as legal shield,Mental Illness & Law,5171002037504213,Mental Illness & Law,yes,neutral,yes,Duplicate of comment #87
89,江西一男子幼儿园行凶,精神病咋不去政府大楼，他挺知道欺负弱小的,340,0,Mental illness as legal shield,Mental Illness & Law,4798407656604497,Mental Illness & Law,yes,skeptical,yes,
90,2025年8月景区故意捅人事件,精神病不是免死金牌,316,0,Mental illness as legal shield,Mental Illness & Law,5199151750975236,Mental Illness & Law,yes,skeptical,yes,
91,2025年8月景区故意捅人事件,括号里那句精神病史有必要放在警情通报里吗！,300,0,Mental illness as legal shield,Mental Illness & Law,5199147827463383,Mental Illness & Law,yes,skeptical,yes,"Criticizes the police notice for including MI-history detail, implying prejudicial/leniency framing"
92,湖南故意伤害案,精神病？能不能判死刑？精神病免责这个事我是一直不理解的,215,0,Mental illness as legal shield,Mental Illness & Law,5195925703624939,Mental Illness & Law,yes,skeptical,yes,
93,广西梧州旺甫小学保安持刀伤人,这种要是后面再爆出个精神病也要关他无期,193,0,Mental illness as legal shield,Mental Illness & Law,4512082046757666,Mental Illness & Law,yes,skeptical,yes,
94,广州宝马撞人案,一个字“好”！之前还申请精神鉴定....,133,0,Mental illness as legal shield,Mental Illness & Law,5024823684366995,Mental Illness & Law,yes,skeptical,yes,Approves the apparent rejection of a psychiatric-evaluation request
95,2023年5月4日列车持刀杀人案,杀了人就是凶手是精神病,94,0,Mental illness as legal shield,Mental Illness & Law,4899593655946811,Mental Illness & Law,yes,skeptical,yes,
96,2023年5月4日列车持刀杀人案,真是可怕，精神病这个理由就结束了嘛，那是一条鲜活的生命啊,63,0,Mental illness as legal shield,Mental Illness & Law,4899594079310969,Mental Illness & Law,yes,skeptical,yes,
97,广西梧州旺甫小学保安持刀伤人,不会又是精神病吧？,49,0,Mental illness as legal shield,Mental Illness & Law,4512084828666562,Mental Illness & Law,yes,skeptical,yes,
98,2024年6月9日成都女子遇害案,精神病人，不犯病期间，自己承担责任，犯病期间，监护人承担责任。,41,0,Mental illness as legal shield,Mental Illness & Law,5170806642443578,Mental Illness & Law,yes,neutral,yes,States the legal principle rather than expressing an opinion
99,2023年5月4日列车持刀杀人案,他都35了，父母还能监管多久,61,20,Recidivism / fear of release,Mental Illness & Law,4955783882869812,Mental Illness & Law,yes,skeptical,partial,Skeptical that aging parents can adequately supervise; bert sub-label frames it as recidivism/release fear
100,景德镇一家三口被撞,过几年就出来了是这样吗,54,20,Recidivism / fear of release,Mental Illness & Law,5253107972050166,Punishment & Justice,no,n/a,no,No mental illness mentioned; concern is about parole/lenient sentencing in a vehicle-ramming case
101,廉江幼儿园行凶事件,怎么老有人往压力大上扯，活不下去捅自己啊，害别人干嘛……,20194,4,General fear / 'anyone could be a victim',Public Safety & Fear,4921925119248049,Public Safety & Fear,no,n/a,yes,
102,泰安一中学附近校车冲撞学生事件,这是报复社会吗？,368,4,General fear / 'anyone could be a victim',Public Safety & Fear,5074503392560908,Public Safety & Fear,no,n/a,yes,
103,景德镇一家三口被撞,太可恶了，必须严惩,286,4,General fear / 'anyone could be a victim',Public Safety & Fear,5253118516531654,Punishment & Justice,no,n/a,no,"Direct punishment call, not a general-fear statement"
104,廉江幼儿园行凶事件,失业率那么高，戾气太重了,181,4,General fear / 'anyone could be a victim',Public Safety & Fear,4921910619801724,Public Safety & Fear,no,n/a,yes,
105,湖北恩施涉校刑事案件,这种反社会人格的人太恐怖了,103,4,General fear / 'anyone could be a victim',Public Safety & Fear,4412266269334667,Public Safety & Fear,no,n/a,yes,
106,2024年6月9日成都女子遇害案,太可怕啦 太危险啦,64,4,General fear / 'anyone could be a victim',Public Safety & Fear,5171009235195909,Public Safety & Fear,no,n/a,yes,
107,德州男子故意冲撞,卧槽这是报复社会吗？,14,4,General fear / 'anyone could be a victim',Public Safety & Fear,5007215951612340,Public Safety & Fear,no,n/a,yes,
108,廉江幼儿园行凶事件,只对弱小出手  真的很典  报复社会怎么不去找恶霸,8,4,General fear / 'anyone could be a victim',Public Safety & Fear,4922084520892957,Public Safety & Fear,no,n/a,yes,
109,沈阳六旬超市员工持刀行凶,靠！ 报复社会啊,5,4,General fear / 'anyone could be a victim',Public Safety & Fear,4659005047963809,Public Safety & Fear,no,n/a,yes,
110,广西梧州旺甫小学保安持刀伤人,有些人，仇恨社会，却只敢向没有还手之力的人发泄。真的是心理阴暗,3,4,General fear / 'anyone could be a victim',Public Safety & Fear,4512083671482455,Public Safety & Fear,no,n/a,yes,
111,上海松江沃尔玛持刀伤人,社会缺少公平正义每个人都可能成为受害者。,2,4,General fear / 'anyone could be a victim',Public Safety & Fear,5084616833108578,Public Safety & Fear,no,n/a,yes,
112,廉江幼儿园行凶事件,戾气太重...……,1,4,General fear / 'anyone could be a victim',Public Safety & Fear,4921975267398221,Public Safety & Fear,no,n/a,yes,
113,2013年北京首都机场爆炸案,助长他们的是这个腐败无能，有失公允，法律要靠后台和金钱才能伸张正义的 社会,1,4,General fear / 'anyone could be a victim',Public Safety & Fear,3733015522409979,Public Safety & Fear,no,n/a,yes,
114,红谷滩杀人事件,真的是走在大街上都害怕呀,1,4,General fear / 'anyone could be a victim',Public Safety & Fear,4399162759756122,Public Safety & Fear,no,n/a,yes,
115,2023年5月4日列车持刀杀人案,说千道万安检出大问题了……,60,5,Security infra debate,Public Safety & Fear,4899593856489679,Public Safety & Fear,no,n/a,yes,
116,广西梧州旺甫小学保安持刀伤人,疯人级别的保安，能保谁的安❓ ！,55,5,Security infra debate,Public Safety & Fear,4512082068433639,Public Safety & Fear,no,n/a,yes,
117,广西梧州旺甫小学保安持刀伤人,保安？？？砍人？？是精神不正常还是什么因素,29,5,Security infra debate,Public Safety & Fear,4512084517366062,Mental Illness & Law,yes,neutral,no,Explicitly raises psychiatric abnormality as a possible cause; fits Mental Illness & Law better than generic security-infra debate
118,2024年6月9日成都女子遇害案,保安是不是也应该限制一下年龄了,16,5,Security infra debate,Public Safety & Fear,5171062052752561,Public Safety & Fear,no,n/a,yes,
119,2024年6月9日成都女子遇害案,保安是不是也应该限制一下年龄了,16,5,Security infra debate,Public Safety & Fear,5171062052752561,Public Safety & Fear,no,n/a,yes,Duplicate of comment #118
120,2024年6月9日成都女子遇害案,一直不清楚的一点，当时保安在干嘛啊,12,5,Security infra debate,Public Safety & Fear,5171027443450410,Public Safety & Fear,no,n/a,yes,
121,上海地铁持刀伤人事件,谁要为安检摇旗，不如出门都安检,12,5,Security infra debate,Public Safety & Fear,5046922802365701,Public Safety & Fear,no,n/a,yes,
122,广西梧州旺甫小学保安持刀伤人,千万不要又是保安有精神病这种幺蛾子,10,5,Security infra debate,Public Safety & Fear,4512084400385365,Mental Illness & Law,yes,skeptical,no,Explicitly preempts a mental-illness defense for the security guard
123,上海地铁持刀伤人事件,安检干嘛？有一定责任,10,5,Security infra debate,Public Safety & Fear,5047274068248476,Public Safety & Fear,no,n/a,yes,
124,广西梧州旺甫小学保安持刀伤人,保安还砍人？要点脸吗？,1,5,Security infra debate,Public Safety & Fear,4518356135242727,Public Safety & Fear,no,n/a,yes,
125,上海松江男子超市持刀伤人,松汇中路距离醉白池65米，我2023以前住醉白池旁边，那里真的很偏。我还记得前几个月早上搭地铁去上班路过合川路地铁站，跳过去了，不明白为啥会跳站，结果是有人持刀在地铁口行凶无差别杀人，大概就发生在8.26分我记得，我每天大概9点多会路过一下合川路。我以为逃过一劫我会很难释怀这件事，但是我真...全文,40,10,Premeditation / weapon carrying,Public Safety & Fear,5084600305189770,Public Safety & Fear,no,n/a,yes,Personal near-miss narrative
126,红谷滩杀人事件,死刑就是最好的治疗！,2365,8,Death penalty arguments,Punishment & Justice,4398600425078791,Punishment & Justice,yes,skeptical,yes,"Sarcastic dig at mental-illness 'treatment' framing, in context of a case with an active MI-defense debate"
127,广西梧州旺甫小学保安持刀伤人,死刑是它唯一的归宿,105,8,Death penalty arguments,Punishment & Justice,4512084409225675,Punishment & Justice,no,n/a,yes,
